date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:43:54	550/550	---MCZ	-1	error ('Open%20error%20when%20decompressing%20(can%20not%20create%20temporary%20file%20/tmp0.z)')	text/plain	etag:W/%22cacheable:6f218704aacd658c1ebf1fbd2d3e0350%22	https://www.lotusartstudio.co.uk/robots.txt		(from )
09:43:54	186724/186724	---MCZ	200	added ('OK')	text/html	etag:W/%22cacheable:441d8f35ab9f58ebe016264be0c84a46%22	https://www.lotusartstudio.co.uk/	www.lotusartstudio.co.uk/index.html	(from )
09:43:54	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:d9e663e57e7173fe9d9359c45b359ddb%22	https://www.lotusartstudio.co.uk/gtm.js?id=	www.lotusartstudio.co.uk/gtm5445.js	(from https://www.lotusartstudio.co.uk/)
09:43:55	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Apr%202024%2003:58:55%20GMT	http://www.lotusartstudio.co.uk/cdn/shop/files/logo-icon_32x32.png?v=1613162098	www.lotusartstudio.co.uk/cdn/shop/files/logo-icon_32x32.1faa5.delayed	(from https://www.lotusartstudio.co.uk/)
09:43:56	2054/2054	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202024%2020:39:31%20GMT	https://www.lotusartstudio.co.uk/cdn/shop/files/logo-icon_32x32.png?v=1613162098	www.lotusartstudio.co.uk/cdn/shop/files/logo-icon_32x32faa5.png	(from https://www.lotusartstudio.co.uk/)
09:43:58	3876/3876	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2030%20Apr%202024%2003:58:57%20GMT	https://www.lotusartstudio.co.uk/checkouts/internal/preloads.js?locale=en-GB	www.lotusartstudio.co.uk/checkouts/internal/preloads6116.js	(from https://www.lotusartstudio.co.uk/)
09:43:58	0/0	---MCZ	404	error ('Not%20Found')	text/javascript	etag:W/%22cacheable:a2710a3ce850470b60e2715b9068debb%22	https://www.lotusartstudio.co.uk/modules/chunk.common_13449db8.esm.js	www.lotusartstudio.co.uk/modules/chunk.common_13449db8.esm.4.delayed	(from https://www.lotusartstudio.co.uk/)
09:43:59	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Apr%202024%2003:58:59%20GMT	http://www.lotusartstudio.co.uk/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	www.lotusartstudio.co.uk/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	(from https://www.lotusartstudio.co.uk/)
09:44:00	12547/12547	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2014%20Mar%202024%2013:37:00%20GMT	https://www.lotusartstudio.co.uk/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	www.lotusartstudio.co.uk/cdn/shopifycloud/shopify/assets/storefront/load_feature-9f951eb7d8d53973c719de211f807d63af81c644e5b9a6ae72661ac408d472f6.js	(from https://www.lotusartstudio.co.uk/)
09:44:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20Apr%202024%2003:59:01%20GMT	http://www.lotusartstudio.co.uk/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8.js?v=20220906	www.lotusartstudio.co.uk/cdn/shopifycloud/shopify/assets/shopify_pay/storefront-80e528be853eac23af2454534897ca9536b1d3d04aa043b042f34879a3c111c8b805.js	(from https://www.lotusartstudio.co.uk/)
